metric,iterations,valid_iterations,estimate,bootstrap_mean,ci_2.5pct,ci_97.5pct
delta_ap_m2_m1,2000,2000,-0.004520492229537987,-0.004862034293591883,-0.012152728270632986,0.0021162417401146168
delta_recall_at_20_m2_m1,2000,2000,-0.013719512195121936,-0.012211313160330535,-0.02460236001335857,0.0
