standard_code,standard_normalized,r_category,r_category_name,basis
19100269 A02 VIII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02II   C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 II A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 II C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A04,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A04 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A04 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A04 VIII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B01,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B01    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B01   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B01 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B01 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 B03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C01,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C01 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C01 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C02,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C02    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C02 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C03 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C04,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C04 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C04 II A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C04 II B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 C05,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D01,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02    V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02    VE,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IIB1,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IIB2,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IVB,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IVC,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   IVD,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02   VIB,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02  III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 II B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 II B 1,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 II B 2,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 II C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 IV B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 IV C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 IV D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 IX,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 V A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 V D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 V E,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VI A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VI B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
