method,quarters,n,positives,selected_n,hits_at_20,ap,brier,recall_at_20,precision_at_20
M1,5,681.0,416.0,139.0,89.0,0.6538641763772264,0.2376671741988552,0.2139423076923076,0.6402877697841727
M2,5,681.0,416.0,139.0,88.0,0.6534012850743972,0.2355223934871388,0.2115384615384615,0.6330935251798561
R0,5,681.0,416.0,139.0,90.0,0.6475146664615402,0.2454236388150537,0.2163461538461538,0.6474820143884892
