记录编号,快照编号,数据集名称,官方数据集ID,官方页面,下载端点或参数,访问日期,下载开始时间,下载完成时间,下载程序版本,原始文件名,文件格式,文件字节数,记录行数,列数,SHA256,数据覆盖起始日,数据覆盖结束日,元数据文件,许可说明文件,只读状态,备份位置一,备份位置二,下载负责人,完整性复核人,复核日期,状态,备注
SNAP20260815_01,OSHA_20260815_01,OSHA Inspection,10334,https://data.dol.gov/datasets/10334,https://api.dol.gov/v4/get/OSHA/inspection/json; limit=5000; sort=asc; sort_by=activity_nr; filter open_date>2009-12-31,2026/8/15,2026/8/13 19:35,2026/8/14 22:02,00_download_official_data.py（本地修复版）,osha_inspection.csv,CSV,375916865,1365781,36,173118928f2fe25bc77d65d6f6ac377ca1e26b81afd5dabac95916c39a2274d5,2010/1/1,2026/8/11,metadata_inspection.json,DOL_API_User_Guide_20240805.pdf,是,_backup_20260817_pre_phase02/01_中间数据/（phase02前完整备份）,无,待核对,冯婧,2026/8/19,完成（待复核）,36列与官方元数据完全一致；字段检查通过（见字段检查.csv）
SNAP20260815_02,OSHA_20260815_01,OSHA Violation,10338,https://data.dol.gov/datasets/10338,https://api.dol.gov/v4/get/OSHA/violation/json; limit=5000; sort=asc; sort_by=activity_nr; filter issuance_date>2009-12-31,2026/8/15,2026/8/13 19:35,2026/8/15 14:41,00_download_official_data.py（本地修复版）,osha_violation.csv,CSV,409305322,2861703,29,7d27a8f3f4d47c793dc44a666401a075a97bbf7f099ea8bee18c822aca889bec,2010/1/1,2026/7/13,metadata_violation.json,DOL_API_User_Guide_20240805.pdf,是,_backup_20260817_pre_phase02/01_中间数据/（phase02前完整备份）,无,待核对,冯婧,2026/8/19,完成（待复核）,"(activity_nr,citation_id)组合零重复；必需字段在位"
